20140423 135134.594 [08996] CLI Starting up; pid 8996
20140423 135134.594 [08996] CLI Sauce Connect 4.1, build 905 bd71d37
20140423 135134.594 [08996] CLI Command line arguments: sc.exe -u TigerairQA -k ****
20140423 135135.793 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1 failed, response code: 401.
20140423 135135.800 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1: HTTP response code indicated failure.
20140423 135135.802 [08996] CLI response: Not authorized.
20140423 135135.804 [08996] CLI failed to remove matching tunnels.
20140423 135136.908 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1 failed, response code: 401.
20140423 135136.913 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1: HTTP response code indicated failure.
20140423 135136.915 [08996] CLI response: Not authorized.
20140423 135300.050 [07248] CLI Starting up; pid 7248
20140423 135300.050 [07248] CLI Sauce Connect 4.1, build 905 bd71d37
20140423 135300.050 [07248] CLI Command line arguments: sc.exe -u TigerairQA -k ****
20140423 135439.874 [07248] KGP warning: no keepalive ack for > 5s
20140423 135440.874 [07248] KGP warning: no keepalive ack for > 5s
20140423 135441.874 [07248] KGP warning: no keepalive ack for > 5s
20140423 135442.874 [07248] KGP warning: no keepalive ack for > 5s
20140423 135443.874 [07248] KGP warning: no keepalive ack for > 5s
20140423 135448.738 [07248] PROXY 127.0.0.1:51035 <- bs.serving-sys.com:443 connection error: No error
20140423 135449.875 [07248] KGP warning: no keepalive ack for > 5s
20140423 135450.875 [07248] KGP warning: no keepalive ack for > 5s
20140423 135451.875 [07248] KGP warning: no keepalive ack for > 5s
20140423 135452.875 [07248] KGP warning: no keepalive ack for > 5s
20140423 135453.875 [07248] KGP warning: no keepalive ack for > 5s
20140423 135454.875 [07248] KGP warning: no keepalive ack for > 5s
20140423 135455.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 135456.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 135457.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 135458.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 135459.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 135500.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 135501.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 135502.877 [07248] KGP warning: no keepalive ack for > 5s
20140423 140137.926 [07248] KGP warning: no keepalive ack for > 5s
20140423 140138.926 [07248] KGP warning: no keepalive ack for > 5s
20140423 140139.926 [07248] KGP warning: no keepalive ack for > 5s
20140423 140148.605 [07248] PROXY 127.0.0.1:51244 <- bs.serving-sys.com:443 connection error: No error
20140423 140316.115 [07248] PROXY 127.0.0.1:51441 <- fbstatic-a.akamaihd.net:443 connection error: No error
20140423 140335.144 [07248] PROXY 127.0.0.1:51621 <- theidealab-applications.com:443 connection error: No error
20140423 140335.490 [07248] PROXY 127.0.0.1:51596 <- theidealab-applications.com:443 connection error: No error
20140423 140335.491 [07248] PROXY 127.0.0.1:51579 <- theidealab-applications.com:443 connection error: No error
20140423 140335.504 [07248] PROXY 127.0.0.1:51584 <- theidealab-applications.com:443 connection error: No error
20140423 140335.509 [07248] PROXY 127.0.0.1:51582 <- theidealab-applications.com:443 connection error: No error
20140423 140335.704 [07248] PROXY 127.0.0.1:51580 <- theidealab-applications.com:443 connection error: No error
20140423 140340.300 [07248] PROXY 127.0.0.1:51637 <- theidealab-applications.com:443 connection error: No error
20140423 140341.303 [07248] PROXY 127.0.0.1:51538 <- theidealab-applications.com:443 connection error: No error
20140423 140555.003 [07248] KGP warning: no keepalive ack for > 5s
20140423 140556.868 [07248] PROXY 127.0.0.1:51819 <- bs.serving-sys.com:443 connection error: No error
20140423 140755.023 [07248] KGP warning: no keepalive ack for > 5s
20140423 140756.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140757.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140758.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140759.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140800.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140801.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140802.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140803.024 [07248] KGP warning: no keepalive ack for > 5s
20140423 140804.025 [07248] KGP warning: no keepalive ack for > 5s
20140423 140806.756 [07248] PROXY 127.0.0.1:51927 <- bs.serving-sys.com:443 connection error: No error
20140423 140820.030 [07248] KGP warning: no keepalive ack for > 5s
20140423 140821.030 [07248] KGP warning: no keepalive ack for > 5s
20140423 140822.030 [07248] KGP warning: no keepalive ack for > 5s
20140423 140823.031 [07248] KGP warning: no keepalive ack for > 5s
20140423 140824.031 [07248] KGP warning: no keepalive ack for > 5s
20140423 140825.031 [07248] KGP warning: no keepalive ack for > 5s
20140423 140826.032 [07248] KGP warning: no keepalive ack for > 5s
20140423 140827.032 [07248] KGP warning: no keepalive ack for > 5s
20140423 140910.037 [07248] KGP warning: no keepalive ack for > 5s
20140423 141631.093 [07248] KGP warning: no keepalive ack for > 5s
20140423 141632.093 [07248] KGP warning: no keepalive ack for > 5s
20140423 141633.093 [07248] KGP warning: no keepalive ack for > 5s
20140423 141634.093 [07248] KGP warning: no keepalive ack for > 5s
20140423 141635.189 [07248] PROXY 127.0.0.1:52324 <- bs.serving-sys.com:443 connection error: No error
20140423 141731.512 [07248] PROXY 127.0.0.1:52330 <- download.cdn.mozilla.net:80 DNS error: non-recoverable failure in name resolution (11003)
20140423 141833.108 [07248] KGP warning: no keepalive ack for > 5s
20140423 141834.108 [07248] KGP warning: no keepalive ack for > 5s
20140423 141835.108 [07248] KGP warning: no keepalive ack for > 5s
20140423 141836.109 [07248] KGP warning: no keepalive ack for > 5s
20140423 141837.109 [07248] KGP warning: no keepalive ack for > 5s
20140423 141838.109 [07248] KGP warning: no keepalive ack for > 5s
20140423 141841.413 [07248] PROXY 127.0.0.1:52427 <- bs.serving-sys.com:443 connection error: No error
20140423 141843.109 [07248] KGP warning: no keepalive ack for > 5s
20140423 141844.109 [07248] KGP warning: no keepalive ack for > 5s
20140423 141846.110 [07248] KGP warning: no keepalive ack for > 5s
20140423 141847.110 [07248] KGP warning: no keepalive ack for > 5s
20140423 141848.110 [07248] KGP warning: no keepalive ack for > 5s
20140423 141849.110 [07248] KGP warning: no keepalive ack for > 5s
20140423 141857.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141858.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141859.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141900.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141901.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141902.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141903.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 141904.115 [07248] KGP warning: no keepalive ack for > 5s
20140423 143136.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143137.235 [07248] KGP warning: no keepalive ack for > 5s
20140423 143138.235 [07248] KGP warning: no keepalive ack for > 5s
